gen_fantasy,gen_thriller,gen_animation,gen_family,gen_horror,gen_sports,gen_fanstasy,gen_holiday,gen_documentary,gen_period,gen_romance,gen_biography,gen_suspense,gen_history,gen_mystery,gen_musical,gen_crime,gen_sci-fi,gen_comedy,gen_action,gen_western,gen_war,gen_horror/mystery,gen_adventure,gen_drama,st_sequel,st_semi-sequel,st_remake,st_original screenplay,st_documentary,st_reboot,st_based on a true story,st_adaptation,st_prequel,film,year,rotten_tomatoes_critics,metacritic_critics,average_critics,rotten_tomatoes_audience,metacritic_audience,rotten_tomatoes_vs_metacritic_deviance,average_audience,audience_vs_critics_deviance,opening_weekend,opening_weekend_($million),domestic_gross,domestic_gross_($million),foreign_gross_($million),foreign_gross,worldwide_gross,worldwide_gross_($million),of_gross_earned_abroad,budget_($million),budget_recovered,budget_recovered_opening_weekend,distributor,imdb_rating,imdb_vs_rt_disparity,release_date_(us),oscar_winners,oscar_detail,PC1,PC2,kmeans_pca,kmeans,kmeans_audience,dbscan,agg
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Disturbia,2007,67.0,62.0,65.0,77.0,81.0,-4.0,79.0,-15.0,22224982.0,22.22,80209692.0,80.21,37.55,37550442.0,117760134.0,118.0,0.37549999999999994,20.0,588.8,111.12,,,,"Apr 13, 2007",0,,-0.21843479436147892,1.0340502650316215,1,2,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dragon Wars (aka D-War),2007,27.0,33.0,30.0,19.0,29.0,-10.0,24.0,6.0,5041239.0,5.04,10977721.0,10.98,63.27,63274132.0,74251853.0,74.0,0.6327,75.0,99.0,6.72,,,,"Sep 14, 2007",0,,-2.2777618605155614,-2.3772994280518307,0,1,2,-1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Enchanted,2007,93.0,75.0,84.0,80.0,83.0,-3.0,82.0,3.0,34440317.0,34.44,127807262.0,127.81,212.68,212680390.0,340487652.0,340.0,2.1268000000000002,85.0,400.57,40.52,,,,"Nov 21, 2007",0,,2.0053140934095643,1.89213665239916,3,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Epic Movie,2007,2.0,17.0,10.0,29.0,21.0,8.0,25.0,-16.0,18612544.0,18.61,39739367.0,39.74,47.13,47126197.0,86865564.0,87.0,0.47130000000000005,20.0,434.33,93.06,,,,"January 26, 2007",0,,-2.0900622945024403,-3.548617197165867,0,1,2,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Evan Almighty,2007,23.0,37.0,30.0,52.0,47.0,5.0,50.0,-20.0,31192615.0,31.19,100462298.0,100.46,72.93,72929590.0,173391888.0,173.0,0.7293000000000001,175.0,99.08,17.82,,,,"Jun 22, 2007",0,,0.3407798493485666,-2.152016686248399,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fantastic Four: Rise of the Silver Surfer,2007,35.0,45.0,40.0,51.0,64.0,-13.0,58.0,-18.0,58051684.0,58.05,131921738.0,131.92,157.13,157126025.0,289047763.0,289.0,1.5713,130.0,222.34,44.66,,,,"Jun 15, 2007",0,,1.5456093658491528,-1.655327590147196,3,3,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ghost Rider,2007,28.0,35.0,32.0,48.0,38.0,10.0,43.0,-12.0,45388836.0,45.39,115802596.0,115.8,112.94,112935797.0,228738393.0,229.0,1.1294,110.0,207.94,41.26,,,,"Feb 16, 2007",0,,0.6519762150853814,-2.241038280764323,0,1,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Good Luck Chuck,2007,3.0,19.0,11.0,57.0,41.0,16.0,49.0,-38.0,13652001.0,13.65,35017297.0,35.02,24.17,24174831.0,59192128.0,59.0,0.24170000000000003,25.0,236.77,54.61,,,,"Sep 21, 2007",0,,-1.8724471832834115,-2.774741146773371,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grindhouse,2007,82.0,77.0,80.0,87.0,80.0,7.0,84.0,-4.0,11596613.0,11.6,25037897.0,25.04,0.38,384191.0,25422088.0,25.0,0.0038,53.0,47.97,21.88,,,,"Apr 6, 2007",0,,-0.6920498338220725,2.294805219484785,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hairspray,2007,92.0,81.0,87.0,85.0,75.0,10.0,80.0,7.0,27476745.0,27.48,118871849.0,118.87,83.68,83676726.0,202548575.0,203.0,0.8368000000000001,75.0,270.06,36.64,,,,"Jul 20, 2007",0,,1.223374937670876,2.3212085753376988,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Halloween,2007,26.0,47.0,37.0,59.0,57.0,2.0,58.0,-22.0,26362367.0,26.36,58272029.0,58.27,20.2,20197855.0,78469884.0,78.0,0.20199999999999999,20.0,392.35,131.81,,,,"Aug 31, 2007",0,,-1.040565683211642,-1.0897581839811967,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Happily N'Ever After,2007,4.0,28.0,16.0,34.0,35.0,-1.0,35.0,-19.0,6608244.0,6.61,15589393.0,15.59,22.5,22495398.0,38084791.0,38.0,0.225,47.0,81.03,14.06,,,,"Jan 5, 2007",0,,-2.444297377871103,-2.8331103889183287,0,1,2,0,0
